"Marca temporal","¿Cuál es su edad? ","¿Con qué frecuencia consume barras energéticas? ","¿Qué lo motiva a consumir barras energéticas?","¿Qué tipos de barra conoce?","¿Qué tan importante es para usted que una barra energética sea natural? ","¿Conoce el yacón?","¿Preferiría una barra energética endulzada con yacón en lugar de azúcar refinada o edulcorantes artificiales?","¿Qué valora más al elegir una barra energética?  (Puede marcar más de una opción) ","¿Cuáles son los beneficios que espera obtener al consumir una barra energética?   (Puede marcar más de una opción) ","¿Qué presentación prefiere para consumir una barra energética? ","¿Le gustaría encontrar este tipo de barra en…? (Puede marcar más de una opción) "," ¿Cuánto estaría dispuesto a pagar por una barra energética elaborada con ingredientes naturales y endulzada con yacón?  "
"2025/05/30 7:32:06 p.m. GMT-5","50","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","Los ingredientes naturales","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/30 8:12:47 p.m. GMT-5","19","Una vez al mes","Saciar el hambre;La practicidad;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","Sí","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/30 8:16:51 p.m. GMT-5","21","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","No","El valor nutricional","Sentirse con más energía","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/30 8:33:04 p.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/30 9:09:49 p.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;El precio","Mejorar el rendimiento físico","Empaque individual","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/30 9:31:05 p.m. GMT-5","20","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El valor nutricional;Una marca reconocida","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 9:32:15 p.m. GMT-5","19","Rara vez","Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El precio","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Tiendas naturales;Farmacias","Entre S/2 y S/4"
"2025/05/30 9:32:20 p.m. GMT-5","19 años","Rara vez","Obtener energía rápidamente;Saciar el hambre;El sabor;La practicidad","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 10:18:10 p.m. GMT-5","22","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","Si","Los ingredientes naturales;El valor nutricional","Mejorar el rendimiento físico;Mejorar la digestión","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 10:26:22 p.m. GMT-5","20","Rara vez","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","No","El sabor","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 10:27:37 p.m. GMT-5","20","Rara vez","La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/30 10:30:37 p.m. GMT-5","21","Rara vez","El sabor","El sabor ","Poco importante","No","No","El sabor;El precio","Controlar el apetito","Caja con varias barras","Supermercados","Menos de S/2"
"2025/05/30 10:31:18 p.m. GMT-5","20","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","El sabor;Los ingredientes naturales","Sentirse con más energía","Empaque individual","Supermercados;Gimnasios","Menos de S/2"
"2025/05/30 11:10:03 p.m. GMT-5","29","Una vez al mes","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","Los ingredientes naturales;El precio;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","Caja con varias barras","Supermercados","Entre S/2 y S/4"
"2025/05/30 11:15:23 p.m. GMT-5","21 años","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","Si","El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/30 11:28:50 p.m. GMT-5","22","Rara vez","Saciar el hambre;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","Los ingredientes naturales;El precio;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/30 11:29:51 p.m. GMT-5","24","Una vez al mes","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El valor nutricional","Mejorar el rendimiento físico;Mejorar la digestión","No tengo preferencia","Gimnasios;En línea (e-commerce)","Más de S/4"
"2025/05/30 11:30:50 p.m. GMT-5","26","Rara vez","La practicidad","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio","Controlar el apetito","Caja con varias barras","Supermercados","Depende del tamaño y calidad"
"2025/05/30 11:37:22 p.m. GMT-5","20","Rara vez","Obtener energía rápidamente;El sabor;La practicidad","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;Los ingredientes naturales;El precio","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/30 11:43:54 p.m. GMT-5","25","Rara vez","Saciar el hambre;El sabor","Barra con tubérculos (ingredientes como yacón, camote, etc.)","Poco importante","Sí","Si","El sabor;El precio","Controlar el apetito","Empaque individual","Supermercados","Menos de S/2"
"2025/05/31 8:25:28 a.m. GMT-5","20","Nunca","Obtener energía rápidamente;La practicidad","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/31 8:28:42 a.m. GMT-5","25","Rara vez","Obtener energía rápidamente;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El precio;El valor nutricional","Sentirse con más energía;Mejorar la digestión","Empaque individual","Supermercados;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 8:31:39 a.m. GMT-5","21","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor;Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 8:33:30 a.m. GMT-5","17","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","Sí","No","El sabor;El precio;Una marca reconocida","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 8:35:26 a.m. GMT-5","21","Una vez al mes","Obtener energía rápidamente;Saciar el hambre;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","No","El sabor;Los ingredientes naturales;El valor nutricional","Sentirse con más energía","No tengo preferencia","Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 8:37:16 a.m. GMT-5","21","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","Caja con varias barras","Supermercados;Tiendas naturales;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 8:37:31 a.m. GMT-5","20","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","No tengo preferencia","Supermercados","Depende del tamaño y calidad"
"2025/05/31 8:42:05 a.m. GMT-5","24","Una vez al mes","Saciar el hambre;El sabor;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 8:42:38 a.m. GMT-5","21","Rara vez","Obtener energía rápidamente;Saciar el hambre;El sabor;La practicidad;Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Poco importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Caja con varias barras","Supermercados;Tiendas naturales;Farmacias;Gimnasios;En línea (e-commerce)","Menos de S/2"
"2025/05/31 8:48:48 a.m. GMT-5","22","Rara vez","Obtener energía rápidamente;Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Menos de S/2"
"2025/05/31 8:50:34 a.m. GMT-5","21","Una vez al mes","Obtener energía rápidamente;Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios;En línea (e-commerce)","Más de S/4"
"2025/05/31 9:00:42 a.m. GMT-5","21","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios;En línea (e-commerce)","Más de S/4"
"2025/05/31 9:05:04 a.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","Sí","Si","El sabor","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 9:14:16 a.m. GMT-5","21","Nunca","Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor;Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía","Empaque individual","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/31 9:15:46 a.m. GMT-5","20","Rara vez","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 9:19:46 a.m. GMT-5","27","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Farmacias;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 9:21:15 a.m. GMT-5","26","Rara vez","El sabor;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El precio;Una marca reconocida","Sentirse con más energía","Empaque individual","Supermercados","Menos de S/2"
"2025/05/31 9:27:52 a.m. GMT-5","20","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Poco importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía","Caja con varias barras","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 9:33:46 a.m. GMT-5","30","Nunca","Obtener energía rápidamente","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Farmacias;Gimnasios;En línea (e-commerce)","Menos de S/2"
"2025/05/31 9:37:57 a.m. GMT-5","20","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","No","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados","Depende del tamaño y calidad"
"2025/05/31 9:40:36 a.m. GMT-5","22","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor;El valor nutricional","Sentirse con más energía;Controlar el apetito","Caja con varias barras","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/31 9:46:29 a.m. GMT-5","22","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","No","El sabor;El precio","Mejorar la digestión;Controlar el apetito","Empaque individual","Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 9:47:38 a.m. GMT-5","24","Rara vez","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional","Mejorar el rendimiento físico;Controlar el apetito","Caja con varias barras","Farmacias","Entre S/2 y S/4"
"2025/05/31 9:51:38 a.m. GMT-5","21","Una vez al mes","Obtener energía rápidamente;Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 9:58:25 a.m. GMT-5","25","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Importante","Sí","Si","Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Controlar el apetito","No tengo preferencia","Supermercados;Farmacias;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 10:00:41 a.m. GMT-5","20","Una vez al mes","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","Caja con varias barras","Supermercados","Depende del tamaño y calidad"
"2025/05/31 10:11:20 a.m. GMT-5","25","Una vez a la semana","Obtener energía rápidamente;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","Los ingredientes naturales;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 10:12:31 a.m. GMT-5","21","Rara vez","Saciar el hambre;El sabor;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Farmacias;Gimnasios;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 10:17:54 a.m. GMT-5","23","Una vez a la semana","Obtener energía rápidamente;La practicidad;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios","Más de S/4"
"2025/05/31 10:19:09 a.m. GMT-5","26","Una vez al mes","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","Sí","No","El sabor;El precio;El valor nutricional","Mejorar el rendimiento físico;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/31 10:24:00 a.m. GMT-5","20","Rara vez","La practicidad","Barra energética comercial (como las de supermercado)","Importante","Sí","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 10:25:09 a.m. GMT-5","21","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales;Farmacias;Gimnasios;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 10:25:26 a.m. GMT-5","22","Rara vez","La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","Si","El sabor;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Gimnasios","Depende del tamaño y calidad"
