"Marca temporal","¿Cuál es su edad? ","¿Con qué frecuencia consume barras energéticas? ","¿Qué lo motiva a consumir barras energéticas?","¿Qué tipos de barra conoce?","¿Qué tan importante es para usted que una barra energética sea natural? ","¿Conoce el yacón?","¿Preferiría una barra energética endulzada con yacón en lugar de azúcar refinada o edulcorantes artificiales?","¿Qué valora más al elegir una barra energética?  (Puede marcar más de una opción) ","¿Cuáles son los beneficios que espera obtener al consumir una barra energética?   (Puede marcar más de una opción) ","¿Qué presentación prefiere para consumir una barra energética? ","¿Le gustaría encontrar este tipo de barra en…? (Puede marcar más de una opción) "," ¿Cuánto estaría dispuesto a pagar por una barra energética elaborada con ingredientes naturales y endulzada con yacón?  "
"2025/05/31 10:27:03 a.m. GMT-5","20","Nunca","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 10:36:51 a.m. GMT-5","20","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Controlar el apetito","No tengo preferencia","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/31 10:38:25 a.m. GMT-5","20","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 10:50:04 a.m. GMT-5","20","Una vez al mes","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico","Empaque individual","Supermercados;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 10:51:52 a.m. GMT-5","20","Una vez al mes","Obtener energía rápidamente;Saciar el hambre;El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía","Caja con varias barras","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 11:01:13 a.m. GMT-5","21","Rara vez","La practicidad","Barra energética comercial (como las de supermercado)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional","Sentirse con más energía","Caja con varias barras","Supermercados","Entre S/2 y S/4"
"2025/05/31 11:02:09 a.m. GMT-5","23","Rara vez","Saciar el hambre;El sabor","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 11:04:45 a.m. GMT-5","42","Rara vez","Obtener energía rápidamente;Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 11:13:24 a.m. GMT-5","19","Rara vez","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión","Empaque individual","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 11:21:44 a.m. GMT-5","20","Rara vez","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 11:28:12 a.m. GMT-5","20","Rara vez","Obtener energía rápidamente;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico;Controlar el apetito","No tengo preferencia","Tiendas naturales;Farmacias","Depende del tamaño y calidad"
"2025/05/31 11:31:35 a.m. GMT-5","19","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 11:45:21 a.m. GMT-5","20","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor","Sentirse con más energía","Empaque individual","Supermercados;Gimnasios","Más de S/4"
"2025/05/31 11:45:34 a.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor","Sentirse con más energía;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Más de S/4"
"2025/05/31 11:46:11 a.m. GMT-5","20","Rara vez","Saciar el hambre;El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 11:53:49 a.m. GMT-5","19","Rara vez","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","No","El sabor;El precio","Sentirse con más energía","No tengo preferencia","Tiendas naturales","Menos de S/2"
"2025/05/31 11:54:21 a.m. GMT-5","19","Rara vez","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","No","El sabor;El precio","Sentirse con más energía","No tengo preferencia","Tiendas naturales","Menos de S/2"
"2025/05/31 11:58:37 a.m. GMT-5","22","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión","No tengo preferencia","Supermercados","Depende del tamaño y calidad"
"2025/05/31 12:09:34 p.m. GMT-5","20","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional","Mejorar el rendimiento físico","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 12:22:25 p.m. GMT-5","15","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor","Sentirse con más energía","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 12:31:57 p.m. GMT-5","21","Una vez al mes","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","No","El sabor;El precio;El valor nutricional;Una marca reconocida","Sentirse con más energía;Mejorar el rendimiento físico;Controlar el apetito","No tengo preferencia","Supermercados;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 12:36:33 p.m. GMT-5","20","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;El precio","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 12:38:40 p.m. GMT-5","23","Rara vez","Obtener energía rápidamente","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","Los ingredientes naturales;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Controlar el apetito","Empaque individual","Supermercados;Farmacias","Depende del tamaño y calidad"
"2025/05/31 12:55:16 p.m. GMT-5","23","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","Si","El sabor;Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Caja con varias barras","Supermercados;Tiendas naturales;Farmacias;Gimnasios;En línea (e-commerce)","Más de S/4"
"2025/05/31 1:00:13 p.m. GMT-5","21","Una vez a la semana","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El valor nutricional;Una marca reconocida","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Supermercados;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 1:08:50 p.m. GMT-5","28","Rara vez","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 1:10:01 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","Sí","No","El sabor;El precio;El valor nutricional","Controlar el apetito","Caja con varias barras","Supermercados","Menos de S/2"
"2025/05/31 1:15:20 p.m. GMT-5","29","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Importante","No","No","El precio","Mejorar la digestión","Caja con varias barras","Gimnasios","Entre S/2 y S/4"
"2025/05/31 1:41:31 p.m. GMT-5","20","Una vez a la semana","Obtener energía rápidamente;Saciar el hambre;El sabor;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","No","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados","Depende del tamaño y calidad"
"2025/05/31 1:45:06 p.m. GMT-5","22","Rara vez","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","Si","El sabor;Los ingredientes naturales;El valor nutricional","Controlar el apetito","Empaque individual","Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/31 1:51:36 p.m. GMT-5","20 ","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 1:57:14 p.m. GMT-5","20","Rara vez","Saciar el hambre;El sabor;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios","Entre S/2 y S/4"
"2025/05/31 2:15:37 p.m. GMT-5","25","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía","No tengo preferencia","Supermercados;Tiendas naturales;En línea (e-commerce)","Menos de S/2"
"2025/05/31 2:18:46 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","No tengo preferencia","Supermercados","Entre S/2 y S/4"
"2025/05/31 2:29:34 p.m. GMT-5","22","Nunca","Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","No","El sabor;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 2:39:19 p.m. GMT-5","20","Rara vez","La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","Caja con varias barras","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/31 3:09:34 p.m. GMT-5","26 años ","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía","Empaque individual","Tiendas naturales;Farmacias;Gimnasios","Entre S/2 y S/4"
"2025/05/31 3:14:06 p.m. GMT-5","21","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio;El valor nutricional","Sentirse con más energía;Controlar el apetito","No tengo preferencia","Supermercados;Gimnasios;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 3:16:10 p.m. GMT-5","23","Rara vez","Obtener energía rápidamente","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;Los ingredientes naturales;El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión","No tengo preferencia","Supermercados","Entre S/2 y S/4"
"2025/05/31 3:17:22 p.m. GMT-5","29","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Importante","No","Si","El sabor;El precio","Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Tiendas naturales","Menos de S/2"
"2025/05/31 3:34:08 p.m. GMT-5","22","Rara vez","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","El sabor;Los ingredientes naturales","Controlar el apetito","Empaque individual","Supermercados;Gimnasios","Entre S/2 y S/4"
"2025/05/31 4:09:28 p.m. GMT-5","20","Nunca","Obtener energía rápidamente","Barra energética comercial (como las de supermercado)","Nada importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados","Entre S/2 y S/4"
"2025/05/31 5:04:48 p.m. GMT-5","26","Nunca","Obtener energía rápidamente","Barra con tubérculos (ingredientes como yacón, camote, etc.)","Muy importante","No","Si","El valor nutricional","Sentirse con más energía","Empaque individual","Tiendas naturales","Menos de S/2"
"2025/05/31 5:05:52 p.m. GMT-5","23","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","Sí","Si","El sabor","Mejorar la digestión","Empaque individual","Gimnasios;En línea (e-commerce)","Entre S/2 y S/4"
"2025/05/31 5:07:54 p.m. GMT-5","29","Rara vez","Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Muy importante","No","Si","Los ingredientes naturales","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","No tengo preferencia","Supermercados;Farmacias","Depende del tamaño y calidad"
"2025/05/31 5:30:13 p.m. GMT-5","25","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El valor nutricional","Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Farmacias","Entre S/2 y S/4"
"2025/05/31 5:32:12 p.m. GMT-5","25","Nunca","Obtener energía rápidamente;Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","No","Los ingredientes naturales","Mejorar la digestión","No tengo preferencia","Supermercados","Más de S/4"
"2025/05/31 5:33:17 p.m. GMT-5","27","Rara vez","Obtener energía rápidamente;El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","Los ingredientes naturales;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar la digestión;Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 5:34:01 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra con tubérculos (ingredientes como yacón, camote, etc.)","Importante","Sí","Si","El sabor","Mejorar el rendimiento físico","Empaque individual","Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 5:34:02 p.m. GMT-5","20","Nunca","Saciar el hambre","Barra energética comercial (como las de supermercado)","Poco importante","No","Si","El sabor;El precio","Controlar el apetito","No tengo preferencia","Supermercados;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 7:35:25 p.m. GMT-5","24","Una vez a la semana","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"
"2025/05/31 8:23:04 p.m. GMT-5","27","Rara vez","Saciar el hambre;La practicidad","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Controlar el apetito","Empaque individual","Supermercados;Gimnasios;En línea (e-commerce)","Depende del tamaño y calidad"
"2025/05/31 9:08:51 p.m. GMT-5","20","Nunca","Obtener energía rápidamente","Nada","Nada importante","No","No","El sabor","Nada","No tengo preferencia","Supermercados","Depende del tamaño y calidad"
"2025/05/31 9:49:42 p.m. GMT-5","22","Rara vez","El sabor","Barra energética comercial (como las de supermercado)","Muy importante","Sí","Si","El sabor;El valor nutricional","Mejorar el rendimiento físico","No tengo preferencia","Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 9:59:21 p.m. GMT-5","19","Una vez al mes","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","No","Si","El sabor;El precio;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Empaque individual","Supermercados;Tiendas naturales;Gimnasios","Más de S/4"
"2025/05/31 10:22:28 p.m. GMT-5","20","Rara vez","Obtener energía rápidamente;Saciar el hambre","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Importante","Sí","Si","Los ingredientes naturales;El valor nutricional;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","Caja con varias barras","Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 10:32:43 p.m. GMT-5","21","Rara vez","Obtener energía rápidamente;Realizar ejercicio o deporte","Barra energética comercial (como las de supermercado)","Muy importante","No","Si","El sabor;Los ingredientes naturales;El precio;El valor nutricional;Una marca reconocida;Beneficios  para la salud (mejora digestión, energía sostenida, etc.)","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales;Gimnasios","Depende del tamaño y calidad"
"2025/05/31 10:44:38 p.m. GMT-5","28","Rara vez","Saciar el hambre","Barra energética comercial (como las de supermercado)","Muy importante","No","No","El valor nutricional","Sentirse con más energía;Mejorar el rendimiento físico","No tengo preferencia","Supermercados;Tiendas naturales","Depende del tamaño y calidad"
"2025/05/31 11:09:04 p.m. GMT-5","21","Nunca","El sabor","Barra proteica (ingredientes como proteínas, frutos secos, etc.)","Poco importante","No","No","El sabor;Los ingredientes naturales","Controlar el apetito","Empaque individual","Supermercados;Tiendas naturales","Entre S/2 y S/4"